Name,Poster Code,Latitude,Longitude
Aldi,SE15 1NQ,51.478341,-0.054144
Aldi,SE6 4jd,51.448328,-0.017944
Aldi,SE28 8DT,51.508015,0.113247
Aldi,NW9 9HN,51.585042,-0.279928
Aldi,IG3 8RS,51.565372,0.104709
Aldi,N12 0ER,51.612859,-0.176699
Aldi,TW3 3HY,51.467732,-0.371075
Aldi,TW13 4EX,51.442892,-0.412804
Aldi,UB7 7QN,51.514451,-0.474214
Aldi,KT12 2QS,#N/A,#N/A
Aldi,RM9 6SJ,51.530849,0.144928
Aldi,RM7 8AD,51.582344,0.162593
Aldi,CR2 8LE,51.345487,-0.05824
Aldi,SE20 7TA,51.408492,-0.058879
Aldi,NW6 4JD,51.540809,-0.196251
Aldi,KT3 3SY,51.404154,-0.272333
Aldi,CR5 2NH,51.320004,-0.138694
Aldi,SE25 5AJ,51.397786,-0.076584
Aldi,DA1 1DN,#N/A,#N/A
Aldi,IG2 6BE,51.574762,0.084461
Aldi,N17 9TA,51.596073,-0.068348
Aldi,RM1 3AB,51.580045,0.182345
Aldi,EN1 1TH,51.653761,-0.054651
Aldi,RM5 2AT,51.59784,0.157135
Aldi,SW17 0SP,51.428421,-0.167266
Aldi,HA4 0XL,51.55963,-0.401559
Aldi,HA5 1QH,51.579253,-0.399095
Aldi,UB7 7QN,51.514451,-0.474214
Aldi,DA1 4FY,51.450768,0.178088
Aldi,KT1 1DF,51.410146,-0.301492
