Name,Poster Code,Latitude,Longitude
Coop,SE13 6RT,51.450701,-0.006212
Coop,E4 6LQ,51.61911,0.00626
Coop,BR4 9HU,51.369633,0.0016
Coop,EN3 6LZ,51.67135,-0.040792
Coop,N1 8LX,51.539219,-0.097881
Coop,RM9 4TP,51.539774,0.127884
Coop,KT16 9AD,#N/A,#N/A
Coop,SW11 1NG,51.460269,-0.166491
Coop,W5 1QP,51.526491,-0.312765
Coop,RM7 0TJ,51.564527,0.175674
Coop,SW2 4RU,51.438654,-0.126897
Coop,SE16 3TS,51.492564,-0.063161
Coop,RM11 1XA,51.566892,0.219045
Coop,W9 3QA,51.524574,-0.201866
Coop,KT3 4EP,51.399725,-0.255061
Coop,DA7 4QW,51.46432,0.133039
Coop,UB10 8DF,51.564457,-0.444961
Coop,UB10 9PW,51.551122,-0.448373
Coop,SW16 3NN,51.419594,-0.127676
Coop,SW8 3LT,51.468506,-0.144161
Coop,HA9 8NF,51.570684,-0.295097
Coop,SE10 8NB,51.478937,-0.011404
Coop,SW15 3DX,51.440472,-0.244313
Coop,DA8 3HB,51.472561,0.161849
Coop,SE22 8HJ,51.459293,-0.075323
Coop,DA15 7AB,51.434817,0.10257
Coop,E11 2AE,51.578238,0.02621
Coop,SM7 1PB,#N/A,#N/A
Coop,SE26 5QE,51.425751,-0.050309
Coop,RM3 8DX,51.606342,0.218529
Coop,E7 0EL,51.548933,0.024504
Coop,KT10 0QY,#N/A,#N/A
Coop,SE27 9AU,51.439705,-0.106597
Coop,SE27 9DL,51.434737,-0.103591
Coop,EC1V 9NP,51.525655,-0.090517
Coop,SW15 2SU,51.459149,-0.209217
Coop,N8 8SE,51.582625,-0.118835
Coop,SW6 1NJ,51.484153,-0.201886
Coop,UB1 1QE,51.511703,-0.379386
Coop,RM8 1UU,51.562344,0.123037
Coop,RM8 2UU,51.558419,0.124268
Coop,SE2 9PS,51.492938,0.109582
Coop,SE5 8RZ,51.473195,-0.093429
Coop,E16 1EQ,51.51651,0.010108
Coop,SW10 0LU,51.481643,-0.180828
Coop,SW17 0NP,51.433241,-0.184651
Coop,SW17 9NH,51.424647,-0.164005
Coop,TW8 9BS,51.491065,-0.303082
Coop,SE25 5AJ,51.397786,-0.076584
Coop,EC1V 1JQ,51.529313,-0.094678
Coop,EN2 6EU,51.646169,-0.080948
Coop,BR7 6AZ,51.422647,0.067808
Coop,WC1E 7DB,51.520088,-0.130663
Coop,E14 6LP,51.51297,-0.014233
Coop,SE18 1JQ,51.487139,0.092432
Coop,NW1 7JR,51.53732,-0.141987
Coop,SW5 9QB,51.492181,-0.193532
Coop,W1F 0QS,51.51282,-0.134477
Coop,DA15 9PS,51.450941,0.103572
Coop,NW2 1ET,51.557317,-0.214928
Coop,SW16 5PY,51.410602,-0.123801
Coop,UB10 0NZ,51.529377,-0.446892
Coop,WD19 5BL,#N/A,#N/A
Coop,IG6 2AJ,51.592687,0.083824
Coop,E17 8BQ,51.575355,-0.029986
Coop,E1 6HU,51.524527,-0.077478
Coop,E1W 2BN,51.509577,-0.063679
Coop,E17 4JD,51.591118,-0.008111
Coop,NW4 3AQ,51.584802,-0.23009
Coop,UB3 5AY,51.481399,-0.44652
Coop,NW11 6AH,51.588751,-0.199434
Coop,SE6 1AA,51.445315,-0.006202
Coop,WC2R 0RG,51.508276,-0.126391
Coop,TW15 2TX,#N/A,#N/A
Coop,SE4 2BN,51.458882,-0.043945
Coop,UB6 0EJ,51.551879,-0.339433
Coop,SW16 5SQ,51.415248,-0.13943
Coop,SE4 2PH,51.454551,-0.037135
Coop,SW19 8AE,51.435104,-0.197559
Coop,SW11 3BA,51.478898,-0.170184
Coop,CR0 9AS,51.35087,-0.038051
Coop,CR0 0JB,51.342086,-0.015754
Coop,E2 7SJ,51.530965,-0.0687
Coop,SE1 0DG,51.500116,-0.099884
Coop,SE1 3LS,51.499642,-0.078551
Coop,WD19 7AD,#N/A,#N/A
Coop,WD24 4FT,#N/A,#N/A
Coop,WD25 9AD,#N/A,#N/A
Coop,WD3 3ER,#N/A,#N/A
Coop,BR5 2RB,51.403671,0.106276
Coop,BR6 0JB,51.382395,0.107208
Coop,BR6 9LP,51.360793,0.088148
Coop,CR2 9BY,51.319988,-0.064529
Coop,DA15 8DJ,51.441117,0.087191
Coop,DA7 5AE,51.46597,0.145655
Coop,DA7 5QR,51.473764,0.126539
Coop,EN1 1XH,51.643094,-0.066148
Coop,UB4 8BY,51.531987,-0.421472
Coop,UB9 6BU,51.603534,-0.482543
Coop,E3 4LN,51.526675,-0.026077
