Name,Poster Code,Latitude,Longitude
M&S,SW18 5RJ,51.445231,-0.205852
M&S,SW13 9LW,51.473589,-0.249523
M&S,SE18 6FL,51.491738,0.070401
M&S,WD3 1BB,#N/A,#N/A
M&S,SE22 8HF,51.457483,-0.075687
M&S,NW1 7JX,51.53786,-0.142163
M&S,BR5 3RP,51.392696,0.112945
M&S,SE1 9SP,51.504674,-0.086006
M&S,NW3 2QG,51.553224,-0.165324
M&S,EN4 0DZ,51.651603,-0.149442
M&S,HA4 7TW,51.588373,-0.436624
M&S,UB10 0LQ,51.53272,-0.451464
M&S,UB9 4DG,#N/A,#N/A
M&S,N1C 4QL,51.531428,-0.126147
M&S,BR7 6HB,51.417357,0.090739
M&S,SM2 5AD,51.358863,-0.191026
M&S,SM7 1AZ,#N/A,#N/A
M&S,TW5 9NB,51.486651,-0.3964
M&S,NW6 6BF,51.533704,-0.203813
M&S,SE9 2NL,51.45309,0.081936
M&S,EN3 7NJ,51.659423,-0.029856
M&S,EN5 1AB,51.646592,-0.188301
M&S,CR7 7YE,51.389128,-0.108758
M&S,DA2 8DA,#N/A,#N/A
M&S,N11 2UU,51.610467,-0.136994
M&S,WC1V 7PU,#N/A,#N/A
M&S,WC2N 5HS,51.508358,-0.124803
M&S,SE1 9SP,51.504674,-0.086006
M&S,SE1 4AG,51.494325,-0.092032
M&S,E10 6JP,51.571282,-0.008213
M&S,W1C 2JS,51.513788,-0.149614
M&S,SE3 7SX,51.476748,0.019319
M&S,SW17 7RH,51.436988,-0.161381
M&S,SW11 1RU,51.463823,-0.16835
M&S,N20 9BS,51.635357,-0.176086
M&S,DA1 1DY,#N/A,#N/A
M&S,IG2 7RH,51.574224,0.085418
M&S,BR1 3AX,51.406694,0.030793
M&S,UB6 8AA,51.532139,-0.307856
M&S,NW1 2QP,51.530485,-0.125653
M&S,W8 5SF,51.500875,-0.192843
M&S,BR1 4PJ,51.426024,-0.00562
M&S,CR0 3RU,51.378841,-0.111003
M&S,SE1 0HX,51.505592,-0.100308
M&S,W12 8QD,51.503249,-0.224073
M&S,TW16 5AD,#N/A,#N/A
M&S,TW15 1RA,#N/A,#N/A
M&S,SW18 1EW,51.461422,-0.188571
M&S,HA1 3BS,51.577667,-0.34252
M&S,SE13 5PQ,51.458882,0.00448
M&S,SW20 8LR,51.408413,-0.215701
M&S,SE10 9TS,51.484131,0.000964
M&S,EC2M 7PN,#N/A,#N/A
M&S,E18 1JJ,51.591792,0.028226
M&S,NW1 2DU,51.528664,-0.133296
M&S,TW6 1AP,51.472385,-0.450939
M&S,TW6 1BJ,51.472385,-0.450959
M&S,SW1V 1JY,51.494974,-0.144354
M&S,EC4M 9AD,#N/A,#N/A
M&S,TW3 1QL,51.469332,-0.359421
M&S,EC2M 2AB,#N/A,#N/A
M&S,CR9 1SH,51.377366,-0.101552
M&S,N12 0AP,51.601936,-0.174353
M&S,NW7 2PT,51.61542,-0.241802
M&S,RM11 3UJ,51.580415,0.239983
M&S,SE1 7HY,51.498246,-0.108837
M&S,SE9 2NL,51.45309,0.081936
M&S,N1 9AL,51.530792,-0.123521
M&S,SE1 7LY,51.503146,-0.113259
M&S,EC4N 5AG,#N/A,#N/A
M&S,CR0 8SS,51.376593,-0.059858
M&S,DA14 5AD,51.414434,0.125263
M&S,BR6 9DA,51.36428,0.110818
M&S,NW9 8SD,51.564201,-0.262646
M&S,W3 0TE,51.527084,-0.278692
M&S,W6 9TQ,51.491539,-0.238781
M&S,EN1 1TH,51.653761,-0.054651
M&S,UB6 8ST,51.53641,-0.345525
M&S,SE1 8UL,51.502717,-0.110064
M&S,DA10 1EB,#N/A,#N/A
M&S,HA1 3UJ,51.575407,-0.322037
M&S,KT11 3DB,#N/A,#N/A
M&S,TW6 1EW,51.469777,-0.449579
