Name,Poster Code,Latitude,Longitude
Waitrose,SW7 3RD,51.491976,-0.179164
Waitrose,WC1V 7DZ,51.517499,-0.120031
Waitrose,WD24 7RU,#N/A,#N/A
Waitrose,SW19 7NS,51.421003,-0.20752
Waitrose,W1T 7QH,51.518991,-0.132366
Waitrose,W2 3HL,51.510839,-0.184147
Waitrose,SW6 4TH,51.474314,-0.201251
Waitrose,N5 1RD,51.546706,-0.103742
Waitrose,W6 8QX,51.484188,-0.219542
Waitrose,SW15 1TW,51.463729,-0.216481
Waitrose,SW18 4TG,51.455133,-0.194179
Waitrose,SW3 5XP,51.488424,-0.16699
Waitrose,SW7 4SF,51.494519,-0.183082
Waitrose,NW3 6NN,51.546563,-0.179884
Waitrose,W1U 4SD,51.519519,-0.152077
Waitrose,SW1X 8JU,51.499152,-0.156661
Waitrose,SW6 1LX,51.480312,-0.199502
Waitrose,W8 6SA,51.4992,-0.19725
Waitrose,NW4 3FB,51.576416,-0.223792
Waitrose,SW14 7JG,51.464367,-0.269248
Waitrose,NW11 0QS,51.58306,-0.199908
Waitrose,N7 6PA,51.555805,-0.115986
Waitrose,EC1Y 8NX,51.521846,-0.092363
Waitrose,WC1N 1AF,51.524273,-0.123529
Waitrose,SW12 9AA,51.445908,-0.150474
Waitrose,BR1 5AJ,51.421089,0.021064
Waitrose,BR2 9HD,51.398999,0.018149
Waitrose,TW9 1AE,51.462337,-0.301404
Waitrose,E18 2NA,51.595316,0.022465
Waitrose,E1W 1YY,51.507298,-0.067249
Waitrose,N12 8NR,51.611324,-0.179779
Waitrose,NW7 1GU,51.607255,-0.209031
Waitrose,W13 0NL,51.513117,-0.321978
Waitrose,N20 9HX,51.631259,-0.175629
Waitrose,BR3 1SD,51.412377,-0.023902
Waitrose,KT3 4HE,51.402355,-0.255924
Waitrose,TW1 3RJ,51.448298,-0.328809
Waitrose,IG9 5EP,#N/A,#N/A
Waitrose,KT10 9QE,#N/A,#N/A
Waitrose,CR5 2NB,51.322289,-0.136553
Waitrose,BR6 6BG,51.354366,0.089996
Waitrose,EN2 6SN,51.651256,-0.083494
Waitrose,HA6 2XW,51.611233,-0.423317
Waitrose,EN5 5XY,51.655345,-0.203132
Waitrose,KT1 1TG,51.411811,-0.304637
Waitrose,HA2 0EG,51.567669,-0.352161
Waitrose,KT6 4QR,51.393717,-0.304573
Waitrose,DA1 1DN,#N/A,#N/A
Waitrose,KT12 4HL,#N/A,#N/A
Waitrose,TW18 4WB,#N/A,#N/A
Waitrose,KT13 8BL,#N/A,#N/A
Waitrose,KT11 1AF,#N/A,#N/A
Waitrose,W12 7GF,51.508054,-0.22367
Waitrose,W2 6ES,51.517146,-0.187706
Waitrose,W4 5TE,51.492728,-0.263132
Waitrose,SW11 1PP,51.462596,-0.168054
Waitrose,W2 2DX,51.517587,-0.165862
Waitrose,SW1X 8GG,51.498997,-0.1571
Waitrose,CR0 1LG,51.374536,-0.096194
Waitrose,W1C 1DX,51.515057,-0.145109
Waitrose,N8 8DU,51.578992,-0.124119
Waitrose,N1 0RW,51.533778,-0.107122
Waitrose,HA3 6HF,51.60534,-0.339606
Waitrose,HA4 7DS,51.571358,-0.423038
Waitrose,CR2 9LE,51.332354,-0.075478
Waitrose,WD3 1FX,#N/A,#N/A
Waitrose,SM7 2NB,#N/A,#N/A
Waitrose,EC1V 4LS,51.524201,-0.103379
Waitrose,SM3 8BD,51.359128,-0.216525
Waitrose,N13 5TU,51.617949,-0.108318
Waitrose,KT12 1BQ,#N/A,#N/A
Waitrose,RM11 1TP,51.563355,0.215253
Waitrose,NW7 3HB,51.624869,-0.259362
Waitrose,SW20 0BS,51.408987,-0.234012
Waitrose,EN2 7AW,51.653416,-0.092482
Waitrose,E20 1EL,51.54373,-0.00672
Waitrose,E14 5ER,51.504576,-0.016253
Waitrose,SW19 7JY,51.42478,-0.202204
Waitrose,N10 1DJ,51.591643,-0.142442
Waitrose,SW4 0HZ,51.461973,-0.138783
Waitrose,SW3 1JE,51.499069,-0.165165
Waitrose,SM7 2NB,#N/A,#N/A
Waitrose,SE10 9FR,51.482978,-0.014814
Waitrose,NW1 7JR,51.53732,-0.141987
Waitrose,N1C 4BH,51.536437,-0.124485
Waitrose,SW15 1TW,51.463729,-0.216481
Waitrose,KT1 1TE,51.411564,-0.306875
Waitrose,SW8 5DN,51.482201,-0.134435
Waitrose,W2 6ES,51.517146,-0.187706
Waitrose,N8 8DU,51.578992,-0.124119
Waitrose,WD17 2TR,#N/A,#N/A
