Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1170014045,CITY OF LONDON,0,532780,180350,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170014113,CITY OF LONDON,0,533841,180787,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170017232,CITY OF LONDON,0,533630,181200,1,3 Pedestrian,1 Male,25-59,37,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
1170019554,CITY OF LONDON,0,531130,181110,1,3 Pedestrian,1 Male,25-59,29,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1170020053,CITY OF LONDON,0,531900,181840,1,3 Pedestrian,1 Male,25-59,36,1,2 Serious,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
1170023279,CITY OF LONDON,0,531390,181570,1,1 Driver/Rider,2 Female,16-24,21,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170033924,CITY OF LONDON,0,533803,181072,1,3 Pedestrian,1 Male,60+,69,1,1 Fatal,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
1170035594,CITY OF LONDON,0,531150,181610,1,3 Pedestrian,1 Male,25-59,38,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
1170039570,CITY OF LONDON,0,533750,180610,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170044059,CITY OF LONDON,0,531207,181601,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1170049570,CITY OF LONDON,0,532240,182220,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
